name,trueheight,shoeheight,weight,wingspan,reach,standvert,agility,sprint,draft,class
Pete Mickeal,"6' 5""","6' 5.5""",222,"6' 9.5""","8' 7.5""",28,10.83,3.06,58,2000
Jaquay Walls,"6' 1.25""","6' 2""",166,"6' 2.5""","8' 0.5""",28.5,10.75,3.23,56,2000
Chris Porter,"6' 5.5""","6' 6.5""",214,"6' 9.5""","8' 7.5""",28.5,10.93,3.2,55,2000
Cory Hightower,"6' 5.5""","6' 6.5""",183,"6' 11""","8' 5.5""",29.5,11.92,3.37,54,2000
Dan McClintock,"6' 11""","7' 0.5""",250,"7' 1.5""","8' 11""",33,11.52,3.33,53,2000
Ernest Brown,"6' 10""","6' 11.25""",223,"7' 1.25""","9' 1.5""",,,,52,2000
Igor Rakocevic,"6' 2.5""","6' 3.25""",184,"6' 5.25""","8' 4""",27.5,10.4,3.1,51,2000
Jason Hart,"6' 1.75""","6' 2.5""",181,"6' 6""","8' 1.5""",29.5,11.7,3.34,49,2000
Mark Karcher,"6' 4""","6' 5""",218,"6' 8""","8' 6.5""",27.5,11.51,3.4,48,2000
Antonis Fotsis,"6' 9.25""","6' 10.25""",219,"6' 8.5""","8' 10""",27,11.6,3.44,47,2000
Jabari Smith,"6' 9.75""","6' 11""",241,"7' 2.5""","9' 1.5""",24.5,12.45,3.43,45,2000
Michael Redd,"6' 4.75""","6' 5.75""",214,"6' 9""","8' 6""",27,12.06,3.34,43,2000
Lavor Postell,"6' 4.5""","6' 5""",205,"6' 8.5""","8' 5.5""",33.5,11.79,3.3,39,2000
Eduardo Najera,"6' 6.5""","6' 7.5""",235,"6' 11.5""","8' 8.5""",28,11.38,3.45,38,2000
Eddie House,"5' 11.75""","6' 0.5""",177,"6' 3.5""","7' 11""",29.5,11.12,3.27,37,2000
Mike Smith,"6' 6.5""",,198,"6' 8.5""","8' 7""",33,11.32,3.22,35,2000
Khalid El-Amin,"5' 9""","5' 9.75""",200,"6' 1.5""","7' 9""",27.5,10.59,3.32,34,2000
A.J. Guyton,"6' 0.75""","6' 1.5""",175,"6' 3.75""","8' 1.5""",33,10.55,3.22,32,2000
Dan Langhi,"6' 9""","6' 10""",198,"6' 8""","8' 8""",31,10.85,3.24,31,2000
Marko Jaric,"6' 6.5""","6' 8""",210,"6' 9""","8' 8""",27.5,11.32,3.28,30,2000
Mark Madsen,"6' 8""","6' 9""",237,"7' 0.5""","8' 8.5""",30.5,12.12,3.46,29,2000
Primoz Brezec,"7' 0.75""","7' 1.5""",243,"7' 2""","9' 2""",26,11.53,3.55,27,2000
Ndongo N'diaye,"6' 11.5""","7' 0.25""",208,"7' 3.5""","9' 4.5""",24.5,13.16,3.69,26,2000
Donnell Harvey,"6' 7.25""",,220,"7' 0.5""","8' 9.5""",33,11.23,,22,2000
Speedy Claxton,"5' 10.5""",,166,"6' 0""","7' 10.5""",36,10.48,3.06,20,2000
Jamal Crawford,"6' 4.5""","6' 5.5""",175,"6' 10""","8' 6.5""",,,,8,2000
Kenny Satterfield,"6' 1""","6' 2.25""",176,"6' 4.5""","8' 2""",28.5,12.05,3.2,53,2001
Jarron Collins,"6' 9.25""","6' 10.5""",252,"7' 3""","8' 8""",23,11.65,3.6,52,2001
Andre Hutson,"6' 8.25""","6' 8.25""",244,"6' 11.75""","8' 9.5""",29,11.25,3.3,51,2001
Alton Ford,"6' 8.25""","6' 9""",271,"6' 10.5""","8' 6.5""",34.5,11.7,3.16,50,2001
Ruben Boumtje-Boumtje,"6' 11.5""",,245,"7' 4""","9' 3""",26.5,11.84,3.33,49,2001
Ken Johnson,"6' 10.75""","6' 11""",227,"7' 4""","9' 1.5""",32.5,11.27,3.12,48,2001
Loren Woods,"7' 0.75""","7' 1.75""",246,"7' 5.5""","9' 5""",24.5,11.83,3.48,45,2001
Sean Lampley,"6' 5.5""","6' 6.5""",213,"6' 9.25""","8' 5""",36,11.06,3.12,44,2001
Sam Clancy,"6' 6.25""","6' 7.5""",242,"7' 2.75""","8' 11""",31,11.47,3.13,44,2001
Keith Bogans,"6' 4.5""","6' 5.5""",210,"6' 9""","8' 4.5""",31.5,11.31,3.22,43,2001
Eric Chenowith,"7' 1""","7' 2""",264,"7' 4""","9' 3""",23.5,12.5,3.59,42,2001
Bobby Simmons,"6' 6.25""","6' 7.5""",235,"7' 0.25""","8' 9""",27.5,11.69,3.41,41,2001
Jamison Brewer,"6' 2.5""","6' 4""",178,"6' 8.75""","8' 6.5""",26,9.65,3.15,40,2001
Earl Watson,"6' 0""","6' 1.25""",184,"6' 6.75""","8' 1""",32.5,10.97,3.19,39,2001
Michael Wright,"6' 7""",,247,"6' 11.5""","8' 10.5""",27.5,11.37,3.21,38,2001
Damone Brown,"6' 8.25""","6' 9.5""",202,"6' 11.75""","8' 8.5""",32,11.81,3.27,36,2001
Brian Scalabrine,"6' 8.75""","6' 10.25""",241,"6' 9.75""","8' 9.5""",27,11.75,3.47,34,2001
Will Solomon,"5' 11.75""","6' 1.25""",172,"6' 9.5""","8' 3.5""",28.5,11.3,3.22,32,2001
Omar Cook,"5' 11.5""","6' 0.75""",189,"6' 5.5""","7' 8""",31,10.77,3.2,31,2001
Gilbert Arenas,"6' 2.25""",,199,"6' 9.5""","8' 3.5""",31.5,,3.25,30,2001
Trenton Hassell,"6' 4.25""","6' 5.25""",205,"6' 8""","8' 3.5""",35.5,11.57,3.29,29,2001
Jamaal Tinsley,"6' 0.75""","6' 2""",199,"6' 7.5""","8' 1.5""",28,11.96,3.2,27,2001
Brandon Armstrong,"6' 3.5""","6' 4.5""",188,"6' 9.5""","8' 3.5""",30,10.91,3.2,23,2001
Jeryl Sasser,"6' 5.5""","6' 6.75""",194,"6' 10.5""","8' 7.5""",29,11.47,3.22,22,2001
Joseph Forte,"6' 3.5""","6' 4.5""",193,"6' 6.5""","8' 4.5""",26.5,11.51,3.19,21,2001
Brendan Haywood,"6' 11.75""","7' 1.5""",266,"7' 6.5""","9' 5.5""",27,12.87,3.5,20,2001
Jason Collins,"6' 10.25""","6' 11.5""",251,"7' 4.5""","9' 2""",25.5,12.1,3.54,18,2001
Michael Bradley,"6' 9.5""","6' 11""",227,"7' 1.5""","8' 11""",27,11.11,3.35,17,2001
Kirk Haston,"6' 8""","6' 9.25""",242,"7' 0.25""","8' 10""",27,12.25,3.35,16,2001
Steven Hunter,"6' 10.25""","6' 11.25""",224,"7' 4""","9' 0""",30.5,11.99,3.15,15,2001
Troy Murphy,"6' 9.75""","6' 11""",230,"6' 11""","8' 9.5""",28.5,11.22,3.43,14,2001
Richard Jefferson,"6' 7.25""","6' 8.5""",223,"7' 0""","8' 7""",33,11.19,3.15,13,2001
Joe Johnson,"6' 6.75""","6' 8.25""",226,"6' 9""","8' 9""",32.5,12.05,3.4,10,2001
Rodney White,"6' 7.5""","6' 8.75""",243,"6' 11.5""","8' 8.5""",27.5,12.07,3.47,9,2001
DeSagana Diop,"6' 10""","6' 11.25""",314,"7' 6.5""","9' 5""",21.5,12.37,3.56,8,2001
Eddie Griffin,"6' 9.25""","6' 10.25""",222,"7' 3""","9' 2""",26.5,11.77,3.21,7,2001
Shane Battier,"6' 8.25""","6' 9.5""",229,"6' 10.5""","8' 9""",29.5,10.95,3.3,6,2001
Jason Richardson,"6' 4.75""","6' 5.75""",213,"6' 11.5""","8' 6.5""",32.5,11.75,3.12,5,2001
Eddy Curry,"6' 10.5""",,301,"7' 6.5""","9' 3""",28,12.25,3.53,4,2001
Tyson Chandler,"6' 11.5""","7' 0.5""",224,"7' 3""","9' 2""",31,12.13,3.36,2,2001
Kwame Brown,"6' 10""","6' 11.5""",243,"7' 1""","9' 0""",30,11.59,3.45,1,2001
Corsley Edwards,"6' 7.25""","6' 8.75""",285,"6' 10.75""","8' 10.5""",28.5,12.18,3.31,57,2002
Randy Holcomb,"6' 7""","6' 8.25""",225,"7' 1""","8' 9""",29.5,12.85,3.22,56,2002
Tamar Slay,"6' 6.75""","6' 7.75""",203,"6' 11.5""","8' 8""",32.5,10.94,3.09,53,2002
Rasual Butler,"6' 6.75""","6' 7.5""",198,"7' 0""","8' 9.5""",31.5,11.54,3.29,52,2002
Marcus Taylor,"6' 1""","6' 2""",181,"6' 4.5""","8' 2.5""",27.5,11.25,3.31,51,2002
Darius Songaila,"6' 8""","6' 9.5""",240,"7' 1""","9' 0.5""",24.5,11.69,3.52,49,2002
Peter Fehse,"6' 10""","6' 11""",220,"7' 0.5""","9' 1""",,,,48,2002
Chris Owens,"6' 7""","6' 8.25""",237,"6' 11.5""","8' 8""",,,,47,2002
Matt Barnes,"6' 6.75""","6' 8""",226,"6' 9""","8' 0.5""",35.5,10.68,3.28,45,2002
Lonny Baxter,"6' 6.25""","6' 7.75""",264,"7' 1.5""","8' 11.5""",28,11.77,3.21,43,2002
Jason Jennings,"6' 11.25""","7' 0.5""",249,"7' 7""","9' 3""",29,11.92,3.62,42,2002
Ronald Murray,"6' 3""","6' 4.5""",197,"6' 7.5""","8' 4.5""",31,11.13,3.16,41,2002
Mario Kasun,"6' 11.75""",,260,"6' 11.5""","9' 1""",,,,40,2002
Rod Grizzard,"6' 6""","6' 7.75""",193,"7' 0""","8' 11""",,,,38,2002
Tito Maddox,"6' 3""","6' 4.25""",200,"6' 5""","8' 3""",27,12.2,3.24,37,2002
Carlos Boozer,"6' 7.75""","6' 9.5""",258,"7' 2.25""","9' 0.5""",26.5,10.77,3.31,34,2002
Vincent Yarbrough,"6' 5.5""","6' 7""",202,"7' 0.5""","8' 8.5""",30,11.7,3.32,32,2002
Robert Archibald,"6' 10""","6' 11""",250,"6' 11.75""","9' 1.5""",24,11.34,3.33,31,2002
Steve Logan,"5' 10""","5' 11.5""",207,"5' 11.75""","7' 8.5""",,,,29,2002
John Salmons,"6' 5.5""","6' 7""",207,"6' 10.25""","8' 8""",30.5,11.35,3.25,26,2002
Frank Williams,"6' 1.5""","6' 2.75""",212,"6' 8""","8' 4.5""",26,11.73,3.29,25,2002
Qyntel Woods,"6' 7""","6' 8.5""",213,"6' 10""","8' 9""",33.5,11.94,3.23,21,2002
Kareem Rush,"6' 4.75""","6' 5.75""",199,"6' 9.75""","8' 7.5""",26,11.86,3.22,20,2002
Ryan Humphrey,"6' 6""","6' 7""",223,"7' 0""","8' 8.5""",31.5,11.75,3.2,19,2002
Curtis Borchardt,"6' 10.75""","7' 0.25""",238,"7' 2.5""","9' 4""",24,12.56,3.63,18,2002
Fred Jones,"6' 2.25""",,218,"7' 0""","8' 4""",33.5,11.12,3.13,14,2002
Marcus Haislip,"6' 8.5""","6' 9.75""",221,"7' 0""","8' 11""",33.5,11.35,3.21,13,2002
Melvin Ely,"6' 9""","6' 10""",240,"7' 4""","9' 3""",26,11.96,3.35,12,2002
Jared Jeffires,"6' 10""",,230,"7' 0.5""","9' 1""",26,11.73,3.4,11,2002
Caron Butler,"6' 5.25""","6' 6.5""",222,"6' 11.5""","8' 7.5""",27,12.15,3.33,10,2002
Amare Stoudemire,"6' 8.5""","6' 10""",233,"7' 1.75""","9' 0.5""",32,11.19,3.25,9,2002
Chris Wilcox,"6' 8.25""","6' 9.5""",218,"7' 1""","8' 11.5""",31,11.43,3.16,8,2002
Nene Hilario,"6' 9.25""","6' 10.25""",253,"7' 4.5""","9' 1""",30,10.73,3.19,7,2002
Dajuan Wagner,"6' 0.75""","6' 2""",193,"6' 2""","8' 3""",28,12.03,3.22,6,2002
Drew Gooden,"6' 8.75""","6' 10""",227,"7' 0.5""","8' 10.5""",29,11.81,3.19,4,2002
Mike Dunleavy,"6' 8""","6' 9.5""",230,"6' 9""","8' 10""",24.5,11.55,3.3,3,2002
Jay Williams,"6' 0.25""","6' 1.75""",197,"6' 3.5""","8' 1""",28.5,10.34,3.09,2,2002
Brandon Hunter,"6' 6.5""","6' 7.75""",266,"7' 2.75""","8' 9.5""",32.5,11.13,3.21,56,2003
Tommy Smith,"6' 9""","6' 10""",200,"7' 2.25""","8' 11.5""",30,11.54,3.14,53,2003
Kyle Korver,"6' 6.25""","6' 7.75""",211,"6' 9.5""","8' 6.5""",25.5,11.42,3.47,51,2003
James Jones,"6' 7.25""","6' 8.75""",218,"7' 2.5""","8' 11.5""",30.5,11.18,3.19,49,2003
James Lang,"6' 8.25""","6' 9.25""",316,"7' 6.25""","9' 2""",24.5,14.01,3.55,48,2003
Ricky Minard,"6' 3.75""","6' 4.25""",198,"6' 7.25""","8' 5.5""",27,12.19,3.21,48,2003
Maurice Williams,"6' 0.75""","6' 2""",189,"6' 5.5""","8' 2.5""",,,,47,2003
Matt Bonner,"6' 8.5""","6' 10""",242,"6' 8.75""","8' 9.5""",27,11.52,3.32,45,2003
Keith Bogans,"6' 4.25""","6' 5.75""",213,"6' 9.25""","8' 5""",29.5,11.43,3.25,43,2003
Willie Green,"6' 2.5""","6' 3.5""",201,"6' 7.25""","8' 4""",28.5,11.86,3.19,41,2003
Derrick Zimmerman,"6' 1""","6' 2.25""",190,"6' 9""","8' 2.5""",34,11.09,3.1,40,2003
Travis Hansen,"6' 4.5""","6' 5.5""",200,"6' 6.5""","8' 4.5""",31.5,10.72,3.18,37,2003
Andre Emmett,"6' 3.75""","6' 4.5""",217,"6' 9""","8' 6.5""",31,10.66,3.15,35,2003
Jerome Beasley,"6' 9""","6' 10.25""",237,"7' 0.5""","8' 11""",27,11.36,3.25,33,2003
Luke Walton,"6' 7.75""","6' 9""",235,"6' 8.5""","8' 8""",28,,,32,2003
Jason Kapono,"6' 6.5""","6' 8""",215,"6' 6.5""","8' 6""",23.5,11.04,3.38,31,2003
Josh Howard,"6' 5.25""","6' 6.5""",202,"7' 2""","8' 9.5""",33,10.89,3.09,29,2003
Sasha Vujacic,"6' 5.5""","6' 6.75""",193,"6' 5.5""","8' 5""",,,,27,2003
Brian Cook,"6' 9.5""","6' 10.75""",234,"7' 2""","9' 1""",25,11.87,3.45,24,2003
Pavel Podkolzine,"7' 3.5""","7' 5""",303,"7' 5.75""","9' 8""",19.5,13.4,3.8,21,2003
Jameer Nelson,"5' 10.25""","6' 0""",193,"6' 2""","7' 9.5""",30,10.66,3.16,20,2003
Dahntay Jones,"6' 4.75""","6' 6.25""",214,"6' 9""","8' 6.5""",30,10.91,3.11,20,2003
David West,"6' 8.25""","6' 9.25""",226,"7' 4.25""","9' 0.5""",28.5,12.18,3.43,18,2003
Troy Bell,"6' 0.25""","6' 2""",178,"6' 5""","8' 1.5""",34.5,10.89,3.06,16,2003
Luke Ridnour,"6' 1""","6' 2""",167,"6' 3""","7' 11.5""",26,11,3.28,14,2003
Nick Collison,"6' 8.75""","6' 10""",255,"7' 1.5""","9' 0""",28,11.62,3.28,12,2003
Mike Sweetney,"6' 7.25""","6' 8""",262,"7' 1""","8' 11.5""",28,12.9,3.28,9,2003
T.J. Ford,"5' 11""","6' 0.25""",162,"5' 11.5""","7' 9.5""",32.5,11.45,3.2,8,2003
Kirk Hinrich,"6' 2.75""","6' 3.75""",186,"6' 6""","8' 2.5""",29,10.98,3.1,7,2003
Chris Kaman,"6' 11.5""","7' 0.5""",252,"6' 11.75""","9' 2.5""",23.5,11.33,3.37,6,2003
Dwyane Wade,"6' 3.75""","6' 4.75""",212,"6' 10.75""","8' 6""",31.5,10.56,3.08,5,2003
Chris Bosh,"6' 10.25""","6' 11.5""",225,"7' 3.5""","9' 1""",30.5,11.8,3.3,4,2003
Carmelo Anthony,"6' 6.25""","6' 7.5""",233,"7' 0""","8' 9.5""",30.5,11.4,3.15,3,2003
Darko Milicic,"6' 11.5""","7' 0.75""",250,"7' 5""","9' 3.5""",26.5,11.3,3.36,2,2003
LeBron James,"6' 7.25""","6' 8""",245,"7' 0.25""","8' 10.25""",,,,1,2003
Rashad Wright,"6' 0.5""","6' 1.75""",190,"6' 10""","8' 2.5""",28.5,11.15,3.28,59,2004
Marcus Douthit,"6' 9.5""","6' 11""",223,"7' 4""","9' 3.5""",25.5,11.64,3.34,56,2004
Luis Flores,"6' 0.5""","6' 1.75""",202,"6' 7.5""","8' 2.5""",29,10.97,3.1,55,2004
Lawrence Roberts,"6' 7.5""","6' 9""",233,"6' 9.5""","8' 10.5""",27.5,12.52,3.3,55,2004
Rickey Paulding,"6' 2.75""","6' 4""",210,"6' 9.5""","8' 5.5""",30,11.14,3.17,54,2004
Dijon Thompson,"6' 6.5""","6' 8""",195,"6' 9.5""","8' 7.5""",33.5,11.37,3.24,54,2004
Matt Freije,"6' 8.25""","6' 9.5""",234,"7' 1""","9' 0.5""",29.5,11.15,3.25,53,2004
Romain Sato,"6' 2""","6' 3.25""",204,"6' 11""","8' 6.5""",31.5,11.27,3.18,52,2004
Mike Williams,"6' 5.5""","6' 6.5""",197,"6' 11.5""","8' 9.5""",23.5,11.59,3.42,51,2004
Ryan Gomes,"6' 6.5""","6' 7.75""",248,"7' 2""","8' 10.5""",26.5,12.49,3.24,50,2004
Sergei Lishouk,"6' 10.25""","6' 11.5""",244,"7' 0""","9' 1.5""",,,,49,2004
Ricky Minard,"6' 3.25""","6' 4.25""",198,"6' 7""","8' 5.5""",27.5,10.94,3.1,48,2004
Pape Sow,"6' 8.5""","6' 10""",233,"7' 2""","9' 0.5""",28,12.13,3.27,47,2004
Bernard Robinson,"6' 5.25""","6' 6.5""",208,"6' 10""","8' 6""",28.5,10.91,3.17,45,2004
Tim Pickett,"6' 3""","6' 4.25""",207,"6' 7.5""","8' 4.5""",,,,44,2004
Trevor Ariza,"6' 7""","6' 8.25""",201,"7' 2""","8' 11.5""",29.5,11.63,3.29,43,2004
Chris Duhon,"6' 0""","6' 1.25""",193,"6' 6.5""","8' 2""",31.5,10.45,3.14,38,2004
Antonio Burks,"6' 0""","6' 0.75""",191,"6' 6.5""","8' 0.5""",,,,36,2004
Andre Emmett,"6' 3.5""","6' 4.5""",216,"6' 9""","8' 4""",,,,35,2004
Brandon Bass,"6' 6.25""","6' 7.25""",246,"7' 2.5""","8' 10.5""",31.5,11.61,3.24,33,2004
Peter Ramos,"7' 1.75""","7' 3.25""",266,"7' 5.5""","9' 3.5""",24,12.61,3.6,32,2004
Jackson Vroman,"6' 9.25""","6' 10.75""",226,"7' 0""","8' 9.5""",29.5,10.75,3.25,31,2004
Beno Udrih,"6' 2.5""","6' 3.75""",199,"6' 4.5""","8' 2""",,,,28,2004
Tiago Splitter,"6' 10.25""","6' 11.75""",233,"7' 2""","9' 1.5""",26,11.65,3.38,28,2004
Tony Allen,"6' 3.5""","6' 4.25""",214,"6' 9""","8' 6""",31.5,10.7,3.19,25,2004
Delonte West,"6' 1.5""","6' 2.75""",183,"6' 6""","8' 3.5""",30,11.2,3.15,24,2004
Nate Robinson,"5' 7.75""","5' 9""",181,"6' 1""","7' 7.5""",35.5,10.75,2.96,21,2004
Jameer Nelson,"5' 11""","6' 0.25""",199,"6' 2.5""","7' 11""",28.5,10.95,3.14,20,2004
J.R. Smith,"6' 5.5""","6' 6.75""",227,"6' 10""","8' 8""",29,10.93,3.21,18,2004
Josh Smith,"6' 7""","6' 8.25""",221,"7' 0""","8' 10.5""",32.5,11.43,3.24,17,2004
Kirk Snyder,"6' 6""","6' 6.75""",228,"6' 9""","8' 8""",30,10.79,3.13,16,2004
Al Jefferson,"6' 8.5""","6' 9.75""",263,"7' 2.5""","9' 2""",28.5,13.08,3.29,15,2004
Kris Humphries,"6' 8.25""","6' 9.5""",238,"7' 0.5""","8' 10.5""",29.5,11.33,3.2,14,2004
Luke Jackson,"6' 6""","6' 7""",212,"6' 8.5""","8' 7""",26.5,11.1,3.24,10,2004
Andre Iguodala,"6' 5.75""","6' 6.75""",217,"6' 11""","8' 9.5""",30.5,11.17,3.18,9,2004
Luol Deng,"6' 7""","6' 8""",220,"7' 0.5""","9' 0.5""",27.5,11.46,3.34,7,2004
Josh Childress,"6' 5.75""","6' 7.25""",196,"6' 11""","8' 9""",29,11.95,3.38,6,2004
Devin Harris,"6' 1.75""","6' 3""",170,"6' 7.5""","8' 2.5""",30.5,11.03,3.19,5,2004
Shaun Livingston,"6' 6.25""","6' 7.5""",186,"6' 11""","8' 9.5""",26.5,10.72,3.23,4,2004
Ben Gordon,"6' 1""","6' 2.25""",192,"6' 8.5""","8' 3""",31.5,11.28,3.19,3,2004
Emeka Okafor,"6' 8.75""","6' 10""",257,"7' 4""","9' 2.5""",31.5,12.32,3.15,2,2004
Dwight Howard,"6' 9""","6' 10.25""",240,"7' 4.5""","9' 3.5""",30.5,11.21,3.14,1,2004
Alex Acker,"6' 3.75""","6' 4.75""",183,"7' 0""","8' 6.5""",28,11.67,3.35,60,2005
Marcin Gortat,"6' 11""","7' 0""",225,"7' 3.5""","9' 2""",29.5,11.48,3.33,57,2005
Dijon Thompson,"6' 6.25""","6' 8""",196,"6' 9.75""","8' 9.5""",,,,54,2005
Robert Whaley,"6' 8""","6' 9""",269,"7' 2""","9' 0""",28.5,12.11,3.25,51,2005
Bracey Wright,"6' 1.25""","6' 2.5""",187,"6' 10""","8' 4.5""",30,11.58,3.27,47,2005
Dee Brown,"5' 11""","6' 0""",179,"6' 2""","7' 10""",,,,46,2005
Martynas Andriuskevicius,"7' 1.25""","7' 3""",228,"6' 11.25""","9' 4.5""",24,11.94,3.42,44,2005
Chris Taft,"6' 8.5""","6' 9.5""",261,"7' 1.75""","9' 1""",28.5,11.26,3.27,42,2005
Monta Ellis,"6' 2.25""","6' 3.25""",177,"6' 2.75""","8' 2""",26.5,12.13,3.31,40,2005
Travis Diener,"5' 11.75""","6' 1""",165,"5' 11.75""","7' 9.5""",24.5,10.85,3.26,38,2005
Ronny Turiaf,"6' 8""","6' 9.25""",238,"7' 1.5""","8' 10.5""",30.5,11.5,3.23,37,2005
Ersan Ilyasova,"6' 7.75""","6' 9""",209,"7' 1.25""","9' 1.5""",22,11.59,3.56,36,2005
David Lee,"6' 7.75""","6' 9""",230,"7' 0""","8' 10.5""",30.5,10.8,3.19,30,2005
Wayne Simien,"6' 7.25""","6' 9""",256,"7' 0""","8' 11""",27,11.05,3.35,29,2005
Jason Maxiell,"6' 5""","6' 6.25""",258,"7' 3.25""","8' 11""",,,,26,2005
Luther Head,"6' 2""","6' 3""",179,"6' 5.25""","8' 2.5""",31.5,11.12,3.21,24,2005
Rudy Fer dez,"6' 4.75""","6' 6""",172,"6' 7.5""","8' 5.5""",26.5,10.48,3.33,24,2005
Francisco Garcia,"6' 5.75""","6' 7""",190,"6' 10.75""","8' 7""",27.5,10.63,3.33,23,2005
Jarrett Jack,"6' 2.5""","6' 3.5""",198,"6' 7.5""","8' 4""",26,10.87,3.24,22,2005
Julius Hodge,"6' 6""","6' 7""",202,"7' 0.5""","8' 11.5""",24.5,10.89,3.18,20,2005
Hakim Warrick,"6' 7.25""","6' 8.5""",215,"7' 2""","9' 0""",33,,3.22,19,2005
Gerald Green,"6' 6""","6' 7.25""",192,"6' 9.75""","8' 8""",31.5,11.2,3.21,18,2005
Danny Granger,"6' 7.5""","6' 8.5""",225,"7' 1.5""","8' 7""",31,10.84,3.34,17,2005
Joey Graham,"6' 5.25""","6' 6.5""",217,"6' 8""","8' 8""",30,10.62,3.05,16,2005
Antoine Wright,"6' 5.25""","6' 6.25""",203,"6' 8.75""","8' 8.5""",26.5,11.45,3.41,15,2005
Rashad McCants,"6' 2.75""","6' 4""",201,"6' 10.75""","8' 7.5""",32.5,10.39,3.11,14,2005
Sean May,"6' 7""","6' 8.5""",259,"7' 1.25""","8' 9""",30,11.04,3.29,13,2005
Brandon Rush,"6' 5""","6' 6.5""",211,"6' 11.25""","8' 8.5""",32.5,11.33,3.31,13,2005
Ike Diogu,"6' 6.5""","6' 8""",255,"7' 3.5""","9' 1""",28,11.94,3.45,9,2005
Channing Frye,"6' 9.5""","6' 10.5""",244,"7' 2.5""","9' 2.5""",27.5,11.6,3.38,8,2005
Charlie Villanueva,"6' 9""","6' 9.5""",237,"7' 0.25""","9' 1""",26,10.86,3.3,7,2005
Martell Webster,"6' 6""","6' 7.5""",230,"6' 11""","8' 10""",28,11.39,3.39,6,2005
Raymond Felton,"5' 11.5""","6' 0.25""",199,"6' 4.25""","8' 2""",29,10.5,3.06,5,2005
Chris Paul,"5' 11.75""","6' 1""",178,"6' 4.25""","7' 9""",32,11.09,3.22,4,2005
Deron Williams,"6' 1.75""","6' 2.75""",202,"6' 6.25""","8' 2""",30,10.83,3.25,3,2005
Marvin Williams,"6' 7""","6' 8.25""",228,"7' 3.5""","9' 0""",29.5,11.11,3.17,2,2005
Andrew Bogut,"6' 11""","7' 0.25""",251,"7' 3""","9' 2.5""",27.5,12.06,3.51,1,2005
Gerald Henderson,"6' 4""",,,"6' 10.75""","8' 6""",,,,64,2006
Paul Miller,"6' 8.5""","6' 9.25""",251,"7' 0""","8' 5.5""",29,12.25,3.66,62,2006
Paul Miller,"6' 9""","6' 10.25""",250,"7' 0""",,,,,62,2006
Will Blalock,"5' 11.25""","6' 0.5""",194,"6' 6""","8' 0.5""",35,11.08,3.18,60,2006
Danilo Pinnock,"6' 2.75""","6' 4""",204,"6' 7.5""","8' 4.5""",29.5,11.91,3.08,58,2006
Brad Newley,"6' 5""","6' 6.25""",198,"6' 7.25""","8' 4.5""",29,11.93,3.36,54,2006
Vernon Macklin,"6' 8.5""",,,"7' 4""","9' 1""",,,,52,2006
Aaron Gray,"7' 0""","7' 1""",280,"7' 3""","9' 1""",26.5,12.63,3.71,49,2006
Paul Millsap,"6' 6.25""","6' 7.25""",258,"7' 1.5""","8' 9.5""",28.5,11.67,3.3,47,2006
James Augustine,"6' 8.25""","6' 9.75""",227,"7' 0.25""","8' 8""",30,10.54,3.25,41,2006
Denham Brown,"6' 4""","6' 5""",218,"6' 9.5""","8' 6.5""",28,11.42,3.25,40,2006
David Noel,"6' 4.5""","6' 6""",223,"6' 9.5""","8' 4""",34.5,10.54,3.07,39,2006
David Noel,"6' 5.75""","6' 6""",228,"6' 9.5""",,,,,39,2006
Bobby Jones,"6' 5.75""","6' 6.75""",211,"6' 9.5""","8' 5.5""",28.5,11.23,3.28,37,2006
Craig Smith,"6' 5.5""","6' 6.5""",259,"6' 9.5""","8' 7.5""",30,11.59,3.4,36,2006
Marcus Williams,"6' 2""","6' 3.25""",215,"6' 7""","8' 1.5""",24.5,11.3,3.4,33,2006
Solomon Jones,"6' 9.25""","6' 10.25""",216,"7' 4.5""",,,,,33,2006
Solomon Jones,"6' 8.5""","6' 9.75""",224,"7' 4""","9' 1""",32,11.27,3.3,33,2006
Steve Novak,"6' 8""","6' 9.25""",216,"6' 9.5""","8' 7""",24.5,11.11,3.37,32,2006
Steve Novak,"6' 8.5""","6' 10""",216,"6' 9.5""",,,,,32,2006
Mardy Collins,"6' 4.25""","6' 5.5""",224,"6' 10""","8' 7""",31.5,12,3.27,29,2006
Wayne Ellington,"6' 4""",,,"6' 7.5""","8' 4""",,,,28,2006
Maurice Ager,"6' 3.25""","6' 4.5""",203,"6' 7.75""","8' 5.5""",29.5,11.73,3.22,28,2006
Jordan Farmar,"6' 0.75""","6' 2""",171,"6' 3""","7' 10.5""",33.5,11.07,3.17,26,2006
Morris Almond,"6' 4.75""","6' 6""",214,"6' 10""","8' 6.5""",31,11.45,3.19,25,2006
Renaldo Balkman,"6' 5.25""","6' 6.5""",206,"7' 1""","8' 8.5""",30.5,11.58,3.22,20,2006
Ty Lawson,"5' 11""",,,"6' 1""","7' 9.5""",,,,18,2006
Shawne Williams,"6' 7.25""","6' 8.75""",227,"7' 3""","8' 8""",32,10.69,3.3,17,2006
Rodney Carney,"6' 4.5""","6' 5.75""",204,"6' 10""","8' 7.5""",32,10.57,3.06,16,2006
Cedric Simmons,"6' 8.25""","6' 9.5""",223,"7' 4.25""","9' 0.5""",30.5,11.05,3.31,15,2006
