name,trueheight,shoeheight,weight,wingspan,reach,standvert,agility,sprint,draft,class
David Lighty,"6' 4.75""","6' 6.5""",216,"6' 8""","8' 5""",28.5,10.81,3.25,55,2011
Scotty Hopson,"6' 5.75""","6' 6.5""",205,"6' 10.5""","8' 7.5""",32.5,10.47,3.18,55,2011
DeAndre Liggins,"6' 5""","6' 6.25""",202,"6' 11""","8' 7.5""",27,,3.33,53,2011
Demetri McCamey,"6' 1.75""","6' 3.25""",204,"6' 6.25""","8' 3.5""",27,11.55,3.19,52,2011
Jon Diebler,"6' 5.25""","6' 6.5""",197,"6' 6""","8' 3""",28,10.94,3.37,51,2011
Marshon Brooks,"6' 4.25""","6' 5.25""",195,"7' 1""","8' 5""",34,10.74,3.09,51,2011
Jon Leuer,"6' 10""","6' 11.5""",223,"7' 0""","8' 9.5""",29.5,10.82,3.36,46,2011
Andrew Goudelock,"6' 1.25""","6' 2.75""",198,"6' 4.25""","8' 0.5""",32.5,10.33,3.1,46,2011
Jordan Williams,"6' 7.75""","6' 9""",247,"7' 0.25""","8' 10.5""",25,12.74,3.45,45,2011
Norris Cole,"6' 0.25""","6' 1.75""",174,"6' 2.25""","7' 11.5""",29.5,10.07,3.22,43,2011
Malcolm Lee,"6' 4""","6' 5.5""",198,"6' 9.75""","8' 5.5""",30,11.2,3.09,42,2011
Shelvin Mack,"6' 1""","6' 2.5""",209,"6' 7.5""","8' 0.5""",32,11.23,3.18,41,2011
E'Twaun Moore,"6' 2.5""","6' 4""",191,"6' 9.5""","8' 3.5""",32,11.12,3.31,40,2011
Jeremy Tyler,"6' 9""","6' 10.5""",262,"7' 5""","9' 2.5""",28,11.26,3.29,39,2011
Keith Benson,"6' 10""","6' 11""",217,"7' 3.75""","9' 1.5""",31.5,11.88,3.35,38,2011
Nikola Vucevic,"6' 10.25""","6' 11.75""",260,"7' 4.5""","9' 4.5""",23.5,12.02,3.27,37,2011
JaJuan Johnson,"6' 9""","6' 10""",220,"7' 2""","8' 11.5""",33.5,11.21,3.14,36,2011
Trey Thompkins,"6' 8.5""","6' 9.75""",239,"7' 1""","8' 11.5""",27.5,11.72,3.41,34,2011
Jereme Richmond,"6' 6""","6' 7.25""",207,"6' 10.25""","8' 10.5""",27,11.74,3.02,33,2011
Iman Shumpert,"6' 4.25""","6' 5.5""",222,"6' 9.5""","8' 3.5""",36.5,11.1,3.18,32,2011
Charles Jenkins,"6' 1.5""","6' 3.25""",216,"6' 7.5""","8' 0.5""",29.5,11.68,3.18,31,2011
Jimmy Butler,"6' 6""","6' 7.75""",222,"6' 7.5""","8' 5.5""",32,11.92,3.15,30,2011
Nolan Smith,"6' 1.5""","6' 3.5""",188,"6' 5.5""","8' 3""",28.5,11.05,3.17,30,2011
Cory Joseph,"6' 2""","6' 3.25""",186,"6' 5.5""","8' 3""",27.5,10.75,3.27,29,2011
Darius Morris,"6' 3.25""","6' 5.25""",190,"6' 7.5""","8' 6""",24.5,11,3.2,29,2011
Justin Harper,"6' 8""","6' 8.75""",228,"6' 11.75""","8' 10""",28.5,11.92,3.3,28,2011
Josh Selby,"6' 1.75""","6' 3""",195,"6' 5.25""","8' 2""",29.5,11.13,3.2,27,2011
Tyler Honeycutt,"6' 6.75""","6' 8.25""",187,"6' 9""","8' 9""",30,11.68,3.07,26,2011
Travis Leslie,"6' 3""","6' 4.25""",205,"6' 10.5""","8' 7""",33,11,3.13,25,2011
Kyle Singler,"6' 7.5""","6' 8.5""",228,"6' 10.10""","8' 10""",23,11.22,3.21,24,2011
James Fredette,"6' 0.75""","6' 2.5""",196,"6' 4.5""","8' 0.5""",28,10.42,3.21,20,2011
Chris Singleton,"6' 7.75""","6' 9""",230,"7' 1""","8' 7.5""",30.5,11.33,3.09,19,2011
Jordan Hamilton,"6' 6.75""","6' 8.5""",228,"6' 9.5""","8' 8""",25,11.47,3.3,18,2011
Kenneth Faried,"6' 6""","6' 7.5""",225,"7' 0""","9' 0""",30.5,11.35,3.26,17,2011
Tristan Thompson,"6' 7.5""","6' 8.75""",227,"7' 1.25""","9' 0.5""",30,10.92,3.26,16,2011
Klay Thompson,"6' 5.75""","6' 7.25""",206,"6' 9""","8' 7.5""",26.5,10.99,3.24,15,2011
Tobias Harris,"6' 6.5""","6' 7.75""",223,"6' 11""","8' 7.5""",31.5,10.96,3.17,14,2011
Markieff Morris,"6' 7.75""","6' 9.25""",241,"6' 10.75""","8' 10.5""",27,,3.4,13,2011
Alec Burks,"6' 5""","6' 6""",193,"6' 10""","8' 7.5""",29,10.96,3.17,12,2011
Kawhi Leonard,"6' 6""","6' 7""",227,"7' 3""","8' 10""",25.5,11.45,3.15,11,2011
Marcus Morris,"6' 7""","6' 8.75""",230,"6' 10""","8' 9.5""",29,,3.15,10,2011
Enes Kanter,"6' 9.75""","6' 11.25""",259,"7' 1.5""","9' 1.5""",26,11.3,3.26,8,2011
Kemba Walker,"5' 11.5""","6' 1""",184,"6' 3.5""","7' 7.5""",32,10.87,3.16,5,2011
Brandon Knight,"6' 1.5""","6' 3.25""",177,"6' 6.75""","8' 2.5""",29,10.74,3.07,3,2011
Derrick Williams,"6' 7.25""","6' 8.75""",248,"7' 1.5""","9' 0""",29,11.03,3.23,2,2011
Marcus Denmon,"6' 2.25""","6' 3.25""",188,"6' 5""","7' 10.5""",33.5,10.82,3.19,59,2012
Robbie Hummel,"6' 7.25""","6' 8.5""",218,"6' 8.5""","8' 6""",27.5,11.56,3.41,58,2012
Darius Johnson-Odom,"6' 1.5""","6' 3""",212,"6' 7""","8' 0""",33.5,10.76,3.21,55,2012
Kris Joseph,"6' 6""","6' 7""",215,"6' 11""","8' 8""",28.5,,3.46,51,2012
Kyle O'Quinn,"6' 8.5""","6' 10""",241,"7' 4.75""","8' 10.5""",31.5,11.65,3.53,49,2012
Kevin Murphy,"6' 5""","6' 6.25""",194,"6' 6.75""","8' 3""",31,10.97,3.42,47,2012
Darius Miller,"6' 6""","6' 7.5""",233,"6' 9""","8' 5""",33,11.34,3.31,46,2012
Kim English,"6' 4.5""","6' 5.75""",192,"6' 6.5""","8' 2""",29,10.59,3.33,44,2012
Mike Scott,"6' 7.25""","6' 8.75""",241,"6' 10.75""","8' 8""",27,11.59,3.44,43,2012
Jeff Taylor,"6' 6""","6' 7.25""",213,"6' 6.25""","8' 5.5""",33.5,10.87,3.29,42,2012
Doron Lamb,"6' 3.25""","6' 4.75""",199,"6' 6.75""","8' 2.5""",29,11.12,3.41,42,2012
Tyshawn Taylor,"6' 2.75""","6' 4""",177,"6' 6.25""","8' 1.5""",32,11.48,3.2,41,2012
Will Barton,"6' 5""","6' 6""",174,"6' 9.75""","8' 6.5""",30,12.5,3.6,40,2012
Khris Middleton,"6' 6.75""","6' 8.25""",216,"6' 10.75""","8' 7""",28,11.45,3.47,39,2012
Quincy Miller,"6' 8.75""","6' 10""",219,"7' 1.25""","8' 9""",30.5,11.05,3.48,38,2012
Quincy Acy,"6' 6.5""","6' 7.75""",224,"7' 2.75""","8' 10.5""",32,10.48,3.28,37,2012
Orlando Johnson,"6' 3.75""","6' 5.25""",224,"6' 11.25""","8' 3""",32,10.98,3.25,36,2012
Draymond Green,"6' 5.75""","6' 7.5""",236,"7' 1.25""","8' 9""",28,11.01,3.4,35,2012
Jae Crowder,"6' 4.75""","6' 6.5""",241,"6' 9.25""","8' 3.5""",31,11.45,3.37,34,2012
Bernard James,"6' 8.75""","6' 10""",230,"7' 3""","9' 0.5""",30,11.84,3.4,33,2012
Tomas Satoransky,"6' 6.5""","6' 7.5""",201,"6' 7.25""","8' 4""",,,,32,2012
Festus Ezeli,"6' 9.75""","6' 11.5""",264,"7' 5.75""","9' 0""",34,12.35,3.29,30,2012
Marquis Teague,"6' 1""","6' 2""",180,"6' 7.25""","8' 0.5""",32.5,10.65,3.19,29,2012
Perry Jones,"6' 10.25""","6' 11.25""",234,"7' 1.75""","8' 11""",33,11.31,3.19,28,2012
Arnett Moultrie,"6' 9.5""","6' 10.75""",233,"7' 2.25""","8' 10.5""",33.5,11.32,3.22,27,2012
Miles Plumlee,"6' 10.5""","6' 11.75""",252,"7' 0.75""","8' 9.5""",34,10.64,3.36,26,2012
Tony Wroten,"6' 4.75""","6' 6""",203,"6' 9""","8' 5""",30,10.75,3.24,25,2012
Jared Cunningham,"6' 3.5""","6' 5""",188,"6' 6.5""","8' 2""",,,,24,2012
John Jenkins,"6' 3.25""","6' 4.25""",212,"6' 8.5""","8' 2""",30.5,11.36,3.37,23,2012
Fab Melo,"6' 10.75""","7' 0""",255,"7' 2.5""","9' 2""",29.5,12.14,3.44,22,2012
Jared Sullinger,"6' 7.75""","6' 9""",268,"7' 1.25""","8' 9.5""",29.5,12.77,3.81,21,2012
Andrew Nicholson,"6' 8.5""","6' 9.5""",234,"7' 4""","8' 11""",28.5,11.89,3.67,19,2012
Terrence Jones,"6' 8.25""","6' 9.5""",252,"7' 2.25""","8' 11""",29.5,11.57,3.4,18,2012
Tyler Zeller,"6' 11.25""","7' 0.5""",247,"7' 0""","8' 8.5""",30,11.13,3.4,17,2012
Royce White,"6' 7""","6' 8""",261,"7' 0""","8' 8.5""",,,,16,2012
Moe Harkless,"6' 7.25""","6' 8.75""",207,"7' 0""","8' 6.5""",32.5,10.87,3.25,15,2012
John Henson,"6' 9""","6' 10.5""",216,"7' 5""","9' 4""",25.5,,,14,2012
Kendall Marshall,"6' 3.25""","6' 4.25""",198,"6' 5.5""","8' 0""",31,12.03,3.23,13,2012
Jeremy Lamb,"6' 4""","6' 5.25""",179,"6' 11""","8' 6""",31.5,10.98,3.25,12,2012
Meyers Leonard,"6' 11.75""","7' 1.25""",250,"7' 3""","9' 0""",30,11.34,3.41,11,2012
Austin Rivers,"6' 3.5""","6' 5""",203,"6' 7.25""","8' 0.5""",32.5,11.54,3.32,10,2012
